债券代码,发行人,是否违约,违约、展期日期,是否有担保,企业性质,是否上市公司,所属行业（Wind),主营业务收入（百万元）,毛利率,净利率,ROE,ROA,主营业务比率,ROIC,EBITDA/营业总收入,经营活动净收益/利润总额,销售商品提供劳务收到的现金/营业收入,经营活动产生的现金流量净额/营业收入,净利润现金含量,资产负债率,长期资本负债率,流动资产/总资产,流动负债/负债合计,流动比率,速动比率,现金比率,现金到期债务比,现金流量利息保障倍数,息税折旧摊销前利润/负债,经营活动产生的现金流量净额/带息债务,经营活动产生的现金流量净额/净债务,非筹资性现金净流量与负债总额的比率,已获利息倍数(EBIT/利息费用),长期债务与营运资金比率,长期负债占比,EBITDA/带息债务,EBITDA/利息费用,货币资金/短期债务,营业周期,存货周转率,应收账款周转率,应付账款周转率,现金周转率,营业利润(同比增长率),营业收入(同比增长率),净资产(同比增长率),总负债(同比增长率),现金净流量(同比增长率),货币资金增长率,Z值,审计意见类别,大股东持股比例,实际控制人属性,估价收益率(%)(中债),估价凸性(中债),最新未使用授信额度,对外担保余额,所属省市,注册资本,有息负债,短期借款,长期借款,应付债券,取得借款流入的现金,一年内到期的非流动负债
114634.SZ,中天金融集团股份有限公司,1,2022/12/13,1,民营企业,1,房地产开发,5738.083266,5.404,-185.0633,-42.6153,-6.0666,95.79888006,-8.3039,-43.06717699,0,82.82,266.64,-238.4612995,92.7897,86.68339928,45.38,46.022,1.0627,1.0507,0.279279541,83.39080851,5.362273671,-0.059,0.231387897,0.2376,-0.222002362,-3.1265,18.7146,5.388971168,-0.127986337,-2.977066875,0.094658549,1435.3459,0.2657,4.4757,1.993015602,181.7317193,-1497.4823,-19.5512,-34.73344222,22.80000526,-490.968687,-60.74072648,-0.007022485,保留意见,46.16999817,个人,9.9495,1.5087,33.85,114000,贵阳市,70.05254679,661.2169794,1469.928024,5055.126243,2543.346372,56.2387772,168.7152234
102002275.IB,荣盛房地产发展股份有限公司,1,2022/12/10,0,民营企业,1,房地产开发,47243.95356,19.5442,-10.5891,-11.4998,-0.8666,95.92676119,-4.6668,-2.976327422,0,161.9,35.8,-341.3479672,84.4871,46.32897801,90.4371,86.0962,1.2433,0.3391,0.094114133,55.52290469,8.54020042,-0.0057,0.278369108,0.4119,5.88540174,-1.5047,0.6638,12.16027478,-0.023140466,-0.839880161,0.604644561,1845.2329,0.2,7.9588,1.435513014,204.849323,-136.4157,-33.935,-14.02040334,4.436534843,-482.0249538,-37.65558612,0.538162917,标准无保留意见,35.65000153,个人,181.5707,0.2432,639.22,3980500,廊坊市,43.48163851,607.6518711,813.0285704,22039.3614,8039.980326,288.4899123,252.215361
136226.SZ,奥园集团有限公司,1,2022/12/8,0,中外合资企业,0,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.58000183,个人,0,0,889.28,2703222.97,广州市,61.1,0,0,0,0,0,0
137432.SZ,金科地产集团股份有限公司,1,2022/12/8,0,民营企业,1,房地产开发,112309.6711,17.22,5.9552,9.4952,2.4116,101.8362067,2.2537,8.400579475,79.7036,89.22,12.65,394.4949742,79.0683,57.30593485,85.9195,82.2099,1.3218,0.3768,0.120250161,34.38174276,12.88140874,0.0321,0.173148915,0.2674,4.226267484,18.3263,0.6725,16.69106052,0.11500945,19.05531748,0.699737556,909.1737,0.4,39.2425,3.347604078,319.275291,-28.5738,28.0548,5.404824798,-4.560247978,-292.5996768,-33.53271406,0.760430984,标准无保留意见,11.05000019,个人,0,0,763.16,1431300,重庆市,53.39715816,820.3380807,4714.247812,41435.3024,7574.592113,556.4206187,279.6324437
149139.SZ,恒大地产集团有限公司,1,2022/12/5,0,民营企业,0,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.28559875,个人,528.1618,0.0477,3002,53189600,深圳市,39.39796387,0,0,0,0,0,0
137429.SZ,深圳市前海融通商业保理有限公司,1,2022/12/2,0,民营企业,0,其他多元金融服务,232.8847,7.3797,1.989,2.243,1.8734,100,2.0466,0,100,4211,-14.84,-746.0547052,19.178,0,97.6969,100,5.0942,5.0942,0.853697594,0,0,0,0,0,0,0,0,0,0,0,0,360.2161,0,0.9994,28.5053291,4542.319095,-17.5806,-47.3148,21.22788477,-70.40471627,0,9.009376274,4.4913868,标准无保留意见,0,0,257.6289,0.14,0,0,深圳市,2,0,0,0,0,0,0
175459.SH,红星美凯龙控股集团有限公司,1,2022/11/28,0,民营企业,0,综合支持服务,36128.46778,43.0621,8.6715,4.1627,3.3729,104.8618333,1.3497,25.80468182,31.9758,112.65,30.84,606.7763295,64.099,59.0038818,25.8898,50.8398,0.7945,0.6,0.188194197,43.42635224,2.551978375,0.0751,0.167604518,0.2,6.80097056,1.9372,0,28.89413764,0.14025286,2.319838736,0.420095938,782.1203,0.475,14.8603,3.746018128,258.2528648,-12.1707,30.1712,-7.366922969,-36.82884471,-1042.1146,-43.87386207,0.85332642,标准无保留意见,92,个人,12.2094,1.3466,214.58,704200,湖州市,2,664.7162974,3645.378521,27249.42287,7677.270019,252.6285864,218.8619392
163039.SH,武汉当代科技产业集团股份有限公司,1,2022/11/28,0,民营企业,0,西药,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.96510315,个人,16.3005,1.2671,83.692057,542000,武汉市,55,0,0,0,0,0,0
101901621.IB,永城煤电控股集团有限公司,1,2022/11/28,0,地方国有企业,0,煤炭与消费用燃料,42767.82634,35.5992,8.3068,-0.448,4.5341,100.6964838,-0.0404,24.87743972,91.9319,107.95,32.36,-36014.78032,77.9398,86.25140113,44.1617,61.5478,0.9206,0.8868,0.156870473,31.77483811,3.655501447,0.0846,0.232174619,0.2828,12.56231548,3.3889,0,33.82964094,0.178478208,4.768433024,0.244985469,73.2595,8.4639,11.7165,2.284338273,255.9176852,852.9781,-23.3134,-18.38579679,-7.481485328,147.0456527,-34.06701361,0.486489373,标准无保留意见,100,地方国资委,0,0,508,1255900,永城市,37.5778,596.1254509,24764.669,19685.91948,6710,348.03342,84.43710241
175447.SH,花样年集团(中国)有限公司,1,2022/11/25,0,其他,0,房地产开发,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,个人,119.0476,0.4495,224.17,1170300,深圳市,16.248435,0,0,0,0,0,0
